#Frame      Mode1    Mode2    Mode3
     576  -64.201  -78.951   -8.232
     577  -63.894  -72.369   -0.896
     578  -76.142  -75.650  -14.247
     579  -77.557  -74.183  -11.785
     580  -73.616  -66.153  -13.839
     581  -71.322  -67.474  -22.584
     582  -71.334  -79.380  -16.531
     583  -71.126  -79.441   -6.960
     584  -82.057  -59.532  -11.134
     585  -82.261  -57.989  -12.282
     586  -79.510  -49.798   -9.312
     587  -74.067  -61.088  -15.633
     588  -69.258  -52.011  -21.552
     589  -75.520  -54.941   -6.574
     590  -78.921  -48.821   -4.297
     591  -77.251  -36.906    1.450
     592  -85.644  -45.890    9.852
     593  -88.670  -43.079   -0.008
     594  -80.750  -56.125    2.502
     595  -83.221  -58.968   11.726
     596  -79.163  -54.315    3.695
     597  -78.434  -56.388   18.454
     598  -61.684  -52.459   -6.723
     599  -62.731  -46.662    0.934
     600  -64.342  -44.548    8.839
     601  -58.838  -51.010    3.907
     602  -69.605  -46.534   -0.714
     603  -71.626  -39.519    1.597
     604  -59.698  -32.074   -6.731
     605  -68.711  -42.616   -9.491
     606  -71.883  -43.578  -11.723
     607  -79.440  -38.415  -19.571
     608  -76.467  -43.438   -8.640
     609  -59.844  -53.776  -10.249
     610  -64.659  -47.642   -4.001
     611  -58.493  -44.020  -19.199
     612  -67.449  -49.120  -15.350
     613  -56.900  -46.673  -24.597
     614  -62.033  -54.836  -18.475
     615  -61.434  -49.666  -16.875
     616  -55.974  -46.122  -23.719
     617  -63.072  -60.989   -5.238
     618  -57.439  -51.657   -3.428
     619  -66.103  -56.603  -11.528
     620  -70.709  -61.771  -15.539
     621  -65.057  -64.132  -28.080
     622  -52.626  -59.000  -16.761
     623  -42.769  -61.081  -27.722
     624  -41.989  -60.566  -25.987
     625  -55.355  -63.879  -18.571
     626  -53.304  -64.202  -13.504
     627  -48.522  -60.844  -13.112
     628  -43.175  -57.534  -22.764
     629  -49.288  -60.088  -18.767
     630  -61.122  -56.607  -14.643
     631  -60.264  -64.101  -15.560
     632  -55.427  -59.813  -30.289
     633  -51.027  -62.464  -33.920
     634  -58.829  -56.550  -16.239
     635  -56.147  -63.784   -9.386
     636  -56.235  -62.535  -21.953
     637  -53.066  -61.685  -19.226
     638  -53.507  -63.223  -12.617
     639  -42.093  -64.528  -16.660
     640  -39.037  -69.042  -14.969
     641  -28.781  -67.929  -12.837
     642  -37.724  -69.367  -12.985
     643  -40.123  -60.545   -5.823
     644  -40.823  -44.492   -5.644
     645  -54.329  -52.089    5.396
     646  -52.321  -51.200    6.591
     647  -60.754  -49.446    5.571
     648  -55.068  -53.291    3.321
     649  -63.982  -57.495    9.916
     650  -66.016  -51.394    9.054
     651  -63.417  -51.899   15.143
     652  -58.014  -52.136    1.906
     653  -53.345  -48.672    5.193
     654  -64.629  -46.894   10.499
     655  -58.032  -37.089   -2.007
     656  -58.752  -38.861   -5.118
     657  -55.085  -42.745    0.576
     658  -57.312  -40.050   -3.087
     659  -59.266  -56.611  -13.544
     660  -51.302  -51.699   -7.953
